,Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Latitude,Longitude
0,2015,242,104461,104461,191-197 Grattan Street,Carlton,Prince Alfred Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,40,-37.80045792, 144.962209
1,2015,242,104461,104461,191-197 Grattan Street,Carlton,Prince Alfred Hotel,4520,"Pubs, Taverns and Bars",Seats - Outdoor,30,-37.80045792, 144.962209
2,2015,257,105516,105516,154-160 Leicester Street,Carlton,The Corkman Irish Pub,4520,"Pubs, Taverns and Bars",Seats - Indoor,150,-37.80243195, 144.960916
3,2015,257,105516,105516,154-160 Leicester Street,Carlton,The Corkman Irish Pub,4520,"Pubs, Taverns and Bars",Seats - Outdoor,10,-37.80243195, 144.960916
4,2015,266,106081,106081,27-31 Lygon Street,Carlton,John Curtin Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,71,-37.80619915, 144.9656988
5,2015,266,106081,106081,27-31 Lygon Street,Carlton,John Curtin Hotel,4520,"Pubs, Taverns and Bars",Seats - Outdoor,16,-37.80619915, 144.9656988
6,2015,215,108202,108202,415-421 Rathdowne Street,Carlton,The Beaufort,4520,"Pubs, Taverns and Bars",Seats - Indoor,80,-37.79652005, 144.9704262
7,2015,218,106215,106215,298 Lygon Street,Carlton,Carlton Yacht Club Bar,4520,"Pubs, Taverns and Bars",Seats - Outdoor,40,-37.79998572, 144.9673764
8,2015,267,106251,106251,66-88 Lygon Street,Carlton,Lagers On Lygon,4520,"Pubs, Taverns and Bars",Seats - Indoor,30,-37.80530329, 144.9665747
9,2015,218,106222,106222,270-276 Lygon Street,Carlton,University Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,60,-37.8005263, 144.9672432
10,2015,218,106222,106222,270-276 Lygon Street,Carlton,University Hotel,4520,"Pubs, Taverns and Bars",Seats - Outdoor,58,-37.8005263, 144.9672432
11,2015,264,109322,109322,593-597 Swanston Street,Carlton,Queensberry Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,60,-37.80475348, 144.9629068
12,2015,204,101613,101613,377-391 Cardigan Street,Carlton,Clyde Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,70,-37.79725532, 144.9657541
13,2015,204,101613,101613,377-391 Cardigan Street,Carlton,Clyde Hotel,4520,"Pubs, Taverns and Bars",Seats - Outdoor,50,-37.79725532, 144.9657541
14,2015,255,101593,101593,91-95 Cardigan Street,Carlton,Hotel Lincoln,4520,"Pubs, Taverns and Bars",Seats - Indoor,62,-37.80448528, 144.9645057
15,2015,255,101593,101593,91-95 Cardigan Street,Carlton,Hotel Lincoln,4520,"Pubs, Taverns and Bars",Seats - Outdoor,20,-37.80448528, 144.9645057
16,2015,214,106186,106186,414-422 Lygon Street,Carlton,Astor Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,40,-37.79694555, 144.9678126
17,2015,247,106238,106238,192-202 Lygon Street,Carlton,Players On Lygon,4520,"Pubs, Taverns and Bars",Seats - Outdoor,20,-37.80245924, 144.9670522
18,2015,252,106244,106244,160-162 Lygon Street,Carlton,Bar Centrale,4520,"Pubs, Taverns and Bars",Seats - Indoor,73,-37.80344164, 144.9667699
19,2015,252,106244,106244,160-162 Lygon Street,Carlton,Bar Centrale,4520,"Pubs, Taverns and Bars",Seats - Outdoor,50,-37.80344164, 144.9667699
20,2015,260,103276,103276,614-616 Elizabeth Street,Carlton,The Last Jar,4520,"Pubs, Taverns and Bars",Seats - Indoor,90,-37.80389369, 144.9589387
21,2015,37,102158,102158,86-88 Collins Street,Melbourne (CBD),Collins Quarter ,4520,"Pubs, Taverns and Bars",Seats - Indoor,171,-37.81393777, 144.9705847
22,2015,37,102158,102158,86-88 Collins Street,Melbourne (CBD),Collins Quarter ,4520,"Pubs, Taverns and Bars",Seats - Outdoor,90,-37.81393777, 144.9705847
23,2015,57,106433,106433,18-24 Market Lane,Melbourne (CBD),Ding Dong Lounge,4520,"Pubs, Taverns and Bars",Seats - Indoor,80,-37.81175137, 144.9694031
24,2015,57,101217,101217,124-128 Bourke Street,Melbourne (CBD),Welcome Stranger,4520,"Pubs, Taverns and Bars",Seats - Indoor,60,-37.81207094, 144.9692645
25,2015,57,103599,103599,169-171 Exhibition Street,Melbourne (CBD),1806,4520,"Pubs, Taverns and Bars",Seats - Indoor,107,-37.81165123, 144.9700684
26,2015,17,103925,103925,121-123 Flinders Lane,Melbourne (CBD),Fashion Lounge,4520,"Pubs, Taverns and Bars",Seats - Indoor,100,-37.81567009, 144.9705132
27,2015,77,108573,108573,270 Russell Street,Melbourne (CBD),Whisky and Alement,4520,"Pubs, Taverns and Bars",Seats - Indoor,45,-37.81011116, 144.9671591
28,2015,57,101221,101221,94-96 Bourke Street,Melbourne (CBD),The Elephant and Wheelbarrow,4520,"Pubs, Taverns and Bars",Seats - Indoor,240,-37.81191058, 144.9702485
29,2015,57,101221,101221,94-96 Bourke Street,Melbourne (CBD),The Elephant and Wheelbarrow,4520,"Pubs, Taverns and Bars",Seats - Outdoor,36,-37.81191058, 144.9702485
30,2015,17,574438,574438,84-94 Flinders Street,Melbourne (CBD),Eau-De-Vie ,4520,"Pubs, Taverns and Bars",Seats - Indoor,136,-37.81587662, 144.9716757
31,2015,48,106559,106559,20 Meyers Place,Melbourne (CBD),Meyers Place Bar,4520,"Pubs, Taverns and Bars",Seats - Indoor,63,-37.81207814, 144.9723505
32,2015,57,101214,101214,146-150 Bourke Street,Melbourne (CBD),FM Karaoke Bar,4520,"Pubs, Taverns and Bars",Seats - Indoor,15,-37.81235798, 144.9687387
33,2015,17,104021,104021,142-148 Flinders Street,Melbourne (CBD),The Duke,4520,"Pubs, Taverns and Bars",Seats - Outdoor,12,-37.81640747, 144.9700863
